scenario,check,mismatches,detail
insertion_only,final_dtl_recompute_vs_logical_views,0,
insertion_only,final_dtl_recompute_vs_ivm,0,
insertion_only,final_dtl_recompute_vs_crown,0,
insertion_only,final_sum_recompute_vs_logical_views,0,
insertion_only,final_sum_recompute_vs_ivm,0,
insertion_only,final_sum_recompute_vs_crown,0,
insertion_only,final_fact_ivm_vs_crown,0,
sliding_window,final_dtl_recompute_vs_logical_views,0,
sliding_window,final_dtl_recompute_vs_ivm,0,
sliding_window,final_dtl_recompute_vs_crown,0,
sliding_window,final_sum_recompute_vs_logical_views,0,
sliding_window,final_sum_recompute_vs_ivm,0,
sliding_window,final_sum_recompute_vs_crown,0,
sliding_window,final_fact_ivm_vs_crown,0,
preloaded_replacement_sliding,final_dtl_recompute_vs_logical_views,0,
preloaded_replacement_sliding,final_dtl_recompute_vs_ivm,0,
preloaded_replacement_sliding,final_dtl_recompute_vs_crown,0,
preloaded_replacement_sliding,final_sum_recompute_vs_logical_views,0,
preloaded_replacement_sliding,final_sum_recompute_vs_ivm,0,
preloaded_replacement_sliding,final_sum_recompute_vs_crown,0,
preloaded_replacement_sliding,final_fact_ivm_vs_crown,0,
